PLAN_CODE	CODE_TO_MAP	CODE_TO_MAP	CODE_TO_MAP	CODE_TO_MAP	CODE_TO_MAP	CODE_TO_MAP	TOTAL_STATE	IS_RP_DEDUCT	ALPHA_BASIS	ALPHA_BT	ALPHA_FA	FACTOR	MID_YEAR_ADJ	REP_MAP	Description
540043	PROT08	440501	540043	440501	440501	540504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 건강관리자금형 10년 거치 지급형 80세만기
540044	PROT08	440501	540041	440501	440501	540504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 건강관리자금형 즉시 지급형 100세만기
540045	PROT08	440501	540042	440501	440501	540504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 건강관리자금형 5년 거치 지급형 100세만기
540046	PROT08	440501	540043	440501	440501	540504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 건강관리자금형 10년 거치 지급형 100세만기
540067	PROT08	440501	540041	440501	540067	540067	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 일시지급형 100세만기
540075	PROT08	440501	540067	440501	540067	540067	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 일시지급형 100세만기_P
440504	PROT07	440504	-1	440504	440504	440504	1	0	PRI	20	1	1	0	REPRESNTATIVE	(무)걱정말아요 Top3 건강보험(보장성) 종합보장형 순수보장형 100세만기
440043	PROT07	440504	-1	440504	440504	440504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 순수보장형 80세만기
440044	PROT07	440504	-1	440504	440504	440504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 순수보장형 100세만기
540510	PROT08	440504	540510	440504	440504	440504	1	0	PRI	20	1	1	0	REPRICE	(무)걱정말아요 Top3 건강보험(보장성) 종합보장형 건강관리자금형 즉시 지급형 100세만기
540047	PROT08	440504	540050	440504	440504	440504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 건강관리자금형 즉시 지급형 80세만기
540048	PROT08	440504	540051	440504	440504	440504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 건강관리자금형 5년 거치 지급형 80세만기
540049	PROT08	440504	540052	440504	440504	440504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 건강관리자금형 10년 거치 지급형 80세만기
540050	PROT08	440504	540050	440504	440504	440504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 건강관리자금형 즉시 지급형 100세만기
540051	PROT08	440504	540051	440504	440504	440504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 건강관리자금형 5년 거치 지급형 100세만기
540052	PROT08	440504	540052	440504	440504	440504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 건강관리자금형 10년 거치 지급형 100세만기
440052	PROT08	440504	-1	440504	440504	440504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 순수보장형 100세만기
540064	PROT08	440504	540064	440504	540064	540064	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 건강관리자금형 즉시 지급형 100세만기
540065	PROT08	440504	540065	440504	540064	540064	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 건강관리자금형 5년 거치 지급형 100세만기
540066	PROT08	440504	540066	440504	540064	540064	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 건강관리자금형 10년 거치 지급형 100세만기
540068	PROT08	440504	540068	440504	540064	540064	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 일시지급형 100세만기
540072	PROT08	440504	540064	440504	540064	540064	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 건강관리자금형 즉시 지급형 100세만기_P
540073	PROT08	440504	540065	440504	540064	540064	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 건강관리자금형 5년 거치 지급형 100세만기_P
540076	PROT08	440504	540068	440504	540064	540064	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 일시지급형 100세만기_P
