BENEFIT_NAME	CATEGORY	VERSION	BENEFIT_TYPE	APPLIEDTO	CONVERT_RATE	WAITING_TYPE	WAITING_PER	FACTOR_INIT_YR	FACTOR_Y1_PRJ	FACTOR_TYPE	FACTOR
암제외진단비	급성심근경색증	V00	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암제외진단비	말기신부전증	V00	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암제외진단비	말기간질환	V00	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암제외진단비	말기폐질환	V00	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	기타피부제외|일반암	V00	Diagnosis	Face	EXPONENTIAL	W_DAYS	90	30 30 100 	30	FLAT	100
암진단비	기타피부암|소액암	V00	Diagnosis	Face	EXPONENTIAL	W_NA	0	30 30 100 	30	FLAT	100
암진단비	제자리암|소액암	V00	Diagnosis	Face	EXPONENTIAL	W_NA	0	30 30 100 	30	FLAT	100
암진단비	경계성종양|소액암	V00	Diagnosis	Face	EXPONENTIAL	W_NA	0	30 30 100 	30	FLAT	100
암진단비	기타피부제외|일반암	V01	Diagnosis	Face	EXPONENTIAL	W_DAYS	90	50 50 100 	50	FLAT	100
암진단비	기타피부암|소액암	V01	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 50 100 	50	FLAT	100
암진단비	제자리암|소액암	V01	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 50 100 	50	FLAT	100
암진단비	경계성종양|소액암	V01	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 50 100 	50	FLAT	100
암진단비	유방|기타피부제외|일반암	V02	Diagnosis	Face	EXPONENTIAL	W_DAYS	90	50 50 100 	50	FLAT	100
암진단비	유방암|일반암	V02	Diagnosis	Face	EXPONENTIAL	W_DAYS	90	36.9091 100 100 	10 10 10 10 10 10 50 50 50 50 50 50	FLAT	100
암진단비	기타피부암|소액암	V02	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 50 100 	50	FLAT	100
암진단비	제자리암|소액암	V02	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 50 100 	50	FLAT	100
암진단비	경계성종양|소액암	V02	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 50 100 	50	FLAT	100
암진단비	생식|유방|기타피부제외|일반암	V03	Diagnosis	Face	EXPONENTIAL	W_DAYS	90	50 100 100 	50	FLAT	100
암진단비	유방암|일반암	V03	Diagnosis	Face	EXPONENTIAL	W_DAYS	90	36.9091 100 100 	36.909090909090907	FLAT	100
암진단비	기타피부암|소액암	V03	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	경계성종양|소액암	V03	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	제자리암|소액암	V03	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	갑상선암|소액암	V03	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	대장점막내암|소액암	V03	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	고액암|일반암	V04	Diagnosis	Face	EXPONENTIAL	W_DAYS	90	50 100 100 	50	FLAT	100
암진단비	기타피부|갑상|대장제외|일반암	V04	Diagnosis	Face	EXPONENTIAL	W_DAYS	90	50 100 100 	50	FLAT	100
암진단비	유방|생식|기타피부|갑상|대장제외|일반암	V04	Diagnosis	Face	EXPONENTIAL	W_DAYS	90	50 100 100 	50	FLAT	100
암진단비	기타피부암|소액암	V04	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	갑상선암|소액암	V04	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	경계성종양|소액암	V04	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	제자리암|소액암	V04	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	대장점막내암|소액암	V04	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	기타피부제외|일반암	V05	Diagnosis	Face	EXPONENTIAL	W_DAYS	90	100 100 100 	100	FLAT	100
암진단비	기타피부암	V05	Diagnosis	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	FLAT	100
암진단비	경계성종양	V05	Diagnosis	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	FLAT	100
암진단비	제자리암	V05	Diagnosis	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	FLAT	100
암진단비	기타피부제외|일반암	V06	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	기타피부암|소액암	V06	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	제자리암|소액암	V06	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암진단비	경계성종양|소액암	V06	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
수술비	질병재해수술	V00	Surgery	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
수술비	성인질환	V00	Surgery	Face	UNIFORM	W_NA	0	50 100 100 	50	FLAT	100
수술비	기타피부|갑상|대장제외|암수술	V00	Surgery	Face	UNIFORM	W_DAYS	90	100 100 100 	100	FLAT	100
수술비	기타피부|암수술	V00	Surgery	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
수술비	갑상|암수술	V00	Surgery	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
수술비	경계성종양|암수술	V00	Surgery	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
수술비	상피내암|암수술	V00	Surgery	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
수술비	최초암|암수술	V00	Surgery	Face	UNIFORM	W_DAYS	90	100 100 100 	100	FLAT	100
입원비	질병재해입원	V00	Hospitalization	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
입원비	성인질환	V00	Hospitalization	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
입원비	기타피부|갑상|대장제외|암입원	V00	Hospitalization	Face	UNIFORM	W_DAYS	90	100 100 100 	100	FLAT	100
입원비	기타피부|암입원	V00	Hospitalization	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
입원비	갑상|암입원	V00	Hospitalization	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
입원비	경계성종양|암입원	V00	Hospitalization	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
입원비	상피내암|암입원	V00	Hospitalization	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
통원비	기타피부|갑상|대장제외|암통원	V00	Outpatient	Face	UNIFORM	W_DAYS	90	100 100 100 	100	FLAT	100
통원비	기타피부|암통원	V00	Outpatient	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
통원비	갑상|암통원	V00	Outpatient	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
통원비	경계성종양|암통원	V00	Outpatient	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
통원비	상피내암|암통원	V00	Outpatient	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
기타	기타피부|갑상|대장제외|방사선	V00	Other	Face	EXPONENTIAL	W_DAYS	90	100 100 100 	100	FLAT	100
기타	기타피부|방사선	V00	Other	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	FLAT	100
기타	갑상|방사선	V00	Other	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	FLAT	100
기타	기타피부|갑상|대장제외|항암약물	V00	Other	Face	EXPONENTIAL	W_DAYS	90	100 100 100 	100	FLAT	100
기타	기타피부|항암약물	V00	Other	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	FLAT	100
기타	갑상|항암약물	V00	Other	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	FLAT	100
기타	재해골절	V00	Other	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
기타	화상부식	V00	Other	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
