* このシートは、インプットデータの保険種類コードを算出方法書単位の保険種類コードに変換するテーブルです。			
* 			
* 「用語の定義」			
* OriginalProdCode=インプットデータの保険種類記号			
* Note=商品正式名称			
* ProdCode=変換後保険種類記号			
* IsVA = 変額年金指定（Y/N)			
OriginalProdCode	Note	ProdCode	IsVA
ﾑ5	５年ごと利差配当付終身保険	WL02	N
ﾂﾑ	５年ごと利差配当付終身保険	WL02	N
ﾐ6	５年ごと利差配当付終身保険	WL02	N
ﾂﾒ	５年ごと利差配当付終身保険	WL02	N
ﾐ7	５年ごと利差配当付終身保険	WL02	N
ﾑQ	５年ごと利差配当付終身保険	WL02	N
ﾑN	５年ごと利差配当付終身保険	WL02	N
ﾑR	５年ごと利差配当付終身保険	WL02	N
ﾑP	５年ごと利差配当付終身保険	WL02	N
ﾑS	５年ごと利差配当付終身保険	WL02	N
ﾑY	５年ごと利差配当付終身保険	WL02	N
ﾑT	５年ごと利差配当付終身保険	WL02	N
ﾑﾇ	５年ごと利差配当付終身保険	WL02	N
ﾐ0	５年ごと利差配当付終身保険	WL02	N
ﾐA	５年ごと利差配当付終身保険	WL02	N
ﾐ1	５年ごと利差配当付終身保険	WL02	N
ﾐB	５年ごと利差配当付終身保険	WL02	N
ﾐ2	５年ごと利差配当付終身保険	WL02	N
ﾐC	５年ごと利差配当付終身保険	WL02	N
ﾐ3	５年ごと利差配当付終身保険	WL02	N
ﾐD	５年ごと利差配当付終身保険	WL02	N
ﾑA	５年ごと利差配当付終身保険	WL02	N
ﾑB	５年ごと利差配当付終身保険	WL02	N
ﾑｹ	５年ごと利差配当付終身保険	WL02	N
ﾑｽ	５年ごと利差配当付終身保険	WL02	N
ﾑｺ	５年ごと利差配当付終身保険	WL02	N
ﾑｾ	５年ごと利差配当付終身保険	WL02	N
ﾑｻ	５年ごと利差配当付終身保険	WL02	N
ﾑｼ	５年ごと利差配当付終身保険	WL02	N
ﾂﾙ	５年ごと利差配当付終身保険	WL02	N
ﾂﾛ	５年ごと利差配当付終身保険	WL02	N
ﾂﾚ	５年ごと利差配当付終身保険	WL02	N
ﾂﾜ	５年ごと利差配当付終身保険	WL02	N
ﾑﾃ	５年ごと利差配当付終身保険	WL02	N
ﾑZ	５年ごと利差配当付終身保険	WL02	N
ﾑﾄ	５年ごと利差配当付終身保険	WL02	N
ﾑﾈ	５年ごと利差配当付終身保険	WL02	N
ﾑﾅ	５年ごと利差配当付終身保険	WL02	N
ﾑﾉ	５年ごと利差配当付終身保険	WL02	N
ﾑﾆ	５年ごと利差配当付終身保険	WL02	N
ﾑﾊ	５年ごと利差配当付終身保険	WL02	N
ﾐG	５年ごと利差配当付終身保険	WL02	N
ﾐL	５年ごと利差配当付終身保険	WL02	N
ﾐH	５年ごと利差配当付終身保険	WL02	N
ﾐM	５年ごと利差配当付終身保険	WL02	N
ﾐJ	５年ごと利差配当付終身保険	WL02	N
ﾐN	５年ごと利差配当付終身保険	WL02	N
ﾐK	５年ごと利差配当付終身保険	WL02	N
ﾐP	５年ごと利差配当付終身保険	WL02	N
ﾁ9	特定疾病保障終身保険	WL03	N
ﾁJ	特定疾病保障終身保険	WL03	N
ﾂ9	特定疾病保障終身保険	WL03	N
ﾂJ	特定疾病保障終身保険	WL03	N
ﾁS	特定疾病保障終身保険	WL03	N
ﾁT	特定疾病保障終身保険	WL03	N
ﾂS	特定疾病保障終身保険	WL03	N
ﾂT	特定疾病保障終身保険	WL03	N
ﾁｳ	特定疾病保障終身保険	WL03	N
ﾁｽ	特定疾病保障終身保険	WL03	N
ﾁｴ	特定疾病保障終身保険	WL03	N
ﾁｾ	特定疾病保障終身保険	WL03	N
ﾂｳ	特定疾病保障終身保険	WL03	N
ﾂｽ	特定疾病保障終身保険	WL03	N
ﾂｴ	特定疾病保障終身保険	WL03	N
ﾂｾ	特定疾病保障終身保険	WL03	N
ﾁｿ	特定疾病保障終身保険	WL03	N
ﾁﾁ	特定疾病保障終身保険	WL03	N
ﾁﾀ	特定疾病保障終身保険	WL03	N
ﾁﾂ	特定疾病保障終身保険	WL03	N
ﾂｿ	特定疾病保障終身保険	WL03	N
ﾂﾁ	特定疾病保障終身保険	WL03	N
ﾂﾀ	特定疾病保障終身保険	WL03	N
ﾂﾂ	特定疾病保障終身保険	WL03	N
ﾁﾙ	特定疾病保障終身保険	WL03	N
ﾁﾛ	特定疾病保障終身保険	WL03	N
ﾁﾚ	特定疾病保障終身保険	WL03	N
ﾁﾜ	特定疾病保障終身保険	WL03	N
ﾑU	特定疾病保障終身保険	WL03	N
ﾑV	特定疾病保障終身保険	WL03	N
ﾑW	特定疾病保障終身保険	WL03	N
ﾑX	特定疾病保障終身保険	WL03	N
ﾐ4	特定疾病保障終身保険	WL03	N
ﾐ5	特定疾病保障終身保険	WL03	N
ﾛ1	祝金付特別終身保険「長寿保険」	WL04	N
ﾛ2	祝金付特別終身保険「長寿保険」	WL04	N
ﾛ3	祝金付特別終身保険「長寿保険」	WL04	N
ﾛ5	祝金付特別終身保険「長寿保険」	WL04	N
ﾛ6	祝金付特別終身保険「長寿保険」	WL04	N
ﾛ7	祝金付特別終身保険「長寿保険」	WL04	N
ﾛ8	祝金付特別終身保険「長寿保険」	WL04	N
ﾛ9	祝金付特別終身保険「長寿保険」	WL04	N
ﾓ1	祝金付特別終身保険「長寿保険」	WL04	N
ｳ1	祝金付特別終身保険「長寿保険」	WL04	N
ﾓ2	祝金付特別終身保険「長寿保険」	WL04	N
ﾓ3	祝金付特別終身保険「長寿保険」	WL04	N
ﾓ4	祝金付特別終身保険「長寿保険」	WL04	N
ﾓ5	祝金付特別終身保険「長寿保険」	WL04	N
ﾓA	祝金付特別終身保険「長寿保険」	WL04	N
ﾚ1	祝金付特別終身保険「長寿保険」	WL04	N
ｳ2	祝金付特別終身保険「長寿保険」	WL04	N
ﾚ3	祝金付特別終身保険「長寿保険」	WL04	N
ﾚ5	祝金付特別終身保険「長寿保険」	WL04	N
ﾚ6	祝金付特別終身保険「長寿保険」	WL04	N
ﾚA	祝金付特別終身保険「長寿保険」	WL04	N
ﾚF	祝金付特別終身保険「長寿保険」	WL04	N
ﾆ6	災害倍額保障・祝金付特別終身保険「長寿保険」	WL05	N
ﾆ7	災害倍額保障・祝金付特別終身保険「長寿保険」	WL05	N
ﾆ8	災害倍額保障・祝金付特別終身保険「長寿保険」	WL05	N
ﾆ9	災害倍額保障・祝金付特別終身保険「長寿保険」	WL05	N
ﾓ6	災害倍額保障・祝金付特別終身保険「長寿保険」	WL05	N
ﾓ7	災害倍額保障・祝金付特別終身保険「長寿保険」	WL05	N
ﾓ8	災害倍額保障・祝金付特別終身保険「長寿保険」	WL05	N
ﾓ9	災害倍額保障・祝金付特別終身保険「長寿保険」	WL05	N
ﾓ0	災害倍額保障・祝金付特別終身保険「長寿保険」	WL05	N
ﾑｱ	５年ごと利差配当付限定告知型終身保険	WL06	N
ﾐS	５年ごと利差配当付限定告知型終身保険	WL06	N
ﾐT	５年ごと利差配当付限定告知型終身保険	WL06	N
ﾑｲ	５年ごと利差配当付限定告知型終身保険	WL06	N
ﾁﾅ	５年ごと利差配当付連生終身保険	WL07	N
ﾁﾆ	５年ごと利差配当付連生終身保険	WL07	N
ﾂﾅ	５年ごと利差配当付連生終身保険	WL07	N
ﾂﾆ	５年ごと利差配当付連生終身保険	WL07	N
ﾁﾗ	５年ごと利差配当付連生終身保険	WL07	N
ﾁﾘ	５年ごと利差配当付連生終身保険	WL07	N
ﾑC	５年ごと利差配当付連生終身保険	WL07	N
ﾑD	５年ごと利差配当付連生終身保険	WL07	N
ﾑE	５年ごと利差配当付連生終身保険	WL07	N
ﾑF	５年ごと利差配当付連生終身保険	WL07	N
ﾂﾓ	５年ごと利差配当付連生終身保険	WL07	N
ﾂﾔ	５年ごと利差配当付連生終身保険	WL07	N
ﾑｿ	５年ごと利差配当付連生終身保険	WL07	N
ﾑﾀ	５年ごと利差配当付連生終身保険	WL07	N
ﾑﾁ	５年ごと利差配当付連生終身保険	WL07	N
ﾑﾂ	５年ごと利差配当付連生終身保険	WL07	N
ﾐE	５年ごと利差配当付連生終身保険	WL07	N
ﾐF	５年ごと利差配当付連生終身保険	WL07	N
ﾁ4	連生終身保険	WL08	N
ﾁD	連生終身保険	WL08	N
ﾂ4	連生終身保険	WL08	N
ﾂD	連生終身保険	WL08	N
ﾁ6	連生終身保険	WL08	N
ﾁF	連生終身保険	WL08	N
ﾂ6	連生終身保険	WL08	N
ﾂF	連生終身保険	WL08	N
ﾁL	連生終身保険	WL08	N
ﾁM	連生終身保険	WL08	N
ﾂL	連生終身保険	WL08	N
ﾂM	連生終身保険	WL08	N
ﾁW	連生終身保険	WL08	N
ﾁｷ	連生終身保険	WL08	N
ﾁX	連生終身保険	WL08	N
ﾁｸ	連生終身保険	WL08	N
ﾂW	連生終身保険	WL08	N
ﾂｷ	連生終身保険	WL08	N
ﾂX	連生終身保険	WL08	N
ﾂｸ	連生終身保険	WL08	N
ﾁﾓ	連生終身保険	WL08	N
ﾁﾕ	連生終身保険	WL08	N
ﾁﾔ	連生終身保険	WL08	N
ﾁﾖ	連生終身保険	WL08	N
ﾁﾋ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾁﾌ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾂﾋ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾂﾌ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ｲA	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ｲB	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾑｳ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾑｴ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾑ6	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾑ7	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾐ8	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾐ9	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾑｵ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾑｶ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾑﾋ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾑﾌ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾑﾍ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾑﾎ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾐQ	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ﾐR	５年ごと利差配当付特定疾病保障終身保険	WL09	N
ｴ1	生存給付金付終身保険「新長寿保険」	WL10	N
ｳA	生存給付金付終身保険「新長寿保険」	WL10	N
ｴA	生存給付金付終身保険「新長寿保険」	WL10	N
ｴF	生存給付金付終身保険「新長寿保険」	WL10	N
ﾋ1	生存給付金付終身保険「新長寿保険」	WL10	N
ｳB	生存給付金付終身保険「新長寿保険」	WL10	N
ﾋA	生存給付金付終身保険「新長寿保険」	WL10	N
ﾋF	生存給付金付終身保険「新長寿保険」	WL10	N
ﾑｷ	無配当終身保険（一時払）	WL11	N
ﾑｸ	無配当終身保険（一時払）	WL11	N
ﾑﾐ	無配当終身保険（一時払）	WL11	N
ﾑﾏ	無配当終身保険（一時払）	WL11	N
ｲC	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲS	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲD	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲT	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲE	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲU	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲF	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲV	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲG	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲW	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲH	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲX	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲｷ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲﾅ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲｸ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲﾆ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲｹ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲﾇ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲｺ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲﾈ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲｻ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲﾉ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲｼ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ｲﾊ	５年ごと利差配当付介護年金保障終身保険	WL12	N
ﾑﾒ	低解約返戻金型無配当終身保険	WL13	N
ﾑﾓ	低解約返戻金型無配当介護保障終身	WL14	N
ｶ	毎期精算配当付自由保険	END01	N
ﾀ	毎期精算配当付自由保険	END01	N
ﾄ	毎期精算配当付自由保険	END01	N
ﾁ	毎期精算配当付自由保険	END01	N
ﾘ	毎期精算配当付自由保険	END01	N
A	毎期精算配当付自由保険	END01	N
B	毎期精算配当付自由保険	END01	N
ｺ	毎期精算配当付自由保険	END01	N
ｸ	毎期精算配当付自由保険	END01	N
ｱ	毎期精算配当付自由保険	END01	N
ｻ	毎期精算配当付自由保険	END01	N
ｱ1	毎期精算配当付自由保険	END01	N
ｱ2	毎期精算配当付自由保険	END01	N
ｻ1	毎期精算配当付自由保険	END01	N
ｻ2	毎期精算配当付自由保険	END01	N
ｱ5	毎期精算配当付自由保険	END01	N
ｱ6	毎期精算配当付自由保険	END01	N
ｻ5	毎期精算配当付自由保険	END01	N
ｻ6	毎期精算配当付自由保険	END01	N
ｱ8	毎期精算配当付自由保険	END01	N
ｻ8	毎期精算配当付自由保険	END01	N
ｱ9	毎期精算配当付自由保険	END01	N
ｻ9	毎期精算配当付自由保険	END01	N
ｱA	毎期精算配当付自由保険	END01	N
ｻA	毎期精算配当付自由保険	END01	N
ｱB	毎期精算配当付自由保険	END01	N
ｻB	毎期精算配当付自由保険	END01	N
ｱC	毎期精算配当付自由保険	END01	N
ｻC	毎期精算配当付自由保険	END01	N
ｱD	毎期精算配当付自由保険	END01	N
ｻD	毎期精算配当付自由保険	END01	N
ﾄ4	毎期精算配当付自由保険	END01	N
ｱE	毎期精算配当付自由保険	END01	N
ｻE	毎期精算配当付自由保険	END01	N
ｱF	毎期精算配当付自由保険	END01	N
ｻF	毎期精算配当付自由保険	END01	N
ﾄ5	毎期精算配当付自由保険	END01	N
ﾄ6	毎期精算配当付自由保険	END01	N
ｱG	毎期精算配当付自由保険	END01	N
ｱJ	毎期精算配当付自由保険	END01	N
ｻG	毎期精算配当付自由保険	END01	N
ｻJ	毎期精算配当付自由保険	END01	N
ｱH	毎期精算配当付自由保険	END01	N
ｱK	毎期精算配当付自由保険	END01	N
ｻH	毎期精算配当付自由保険	END01	N
ｻK	毎期精算配当付自由保険	END01	N
ﾄ7	毎期精算配当付自由保険	END01	N
ﾄ9	毎期精算配当付自由保険	END01	N
ﾄ8	毎期精算配当付自由保険	END01	N
ﾄA	毎期精算配当付自由保険	END01	N
ｱV	毎期精算配当付自由保険	END01	N
ｱW	毎期精算配当付自由保険	END01	N
ｻV	毎期精算配当付自由保険	END01	N
ｻW	毎期精算配当付自由保険	END01	N
ｱP	毎期精算配当付自由保険	END01	N
ｻP	毎期精算配当付自由保険	END01	N
ｱQ	毎期精算配当付自由保険	END01	N
ｻQ	毎期精算配当付自由保険	END01	N
ﾄD	毎期精算配当付自由保険	END01	N
ﾄE	毎期精算配当付自由保険	END01	N
ｱL	５年ごと利差配当付自由保険	END02	N
ｻL	５年ごと利差配当付自由保険	END02	N
ﾄB	５年ごと利差配当付自由保険	END02	N
ﾄC	５年ごと利差配当付自由保険	END02	N
ｱT	５年ごと利差配当付自由保険	END02	N
ｻT	５年ごと利差配当付自由保険	END02	N
ｱS	５年ごと利差配当付自由保険	END02	N
ｻM	５年ごと利差配当付自由保険	END02	N
ﾄH	５年ごと利差配当付自由保険	END02	N
ﾄJ	５年ごと利差配当付自由保険	END02	N
ｱR	５年ごと利差配当付自由保険	END02	N
ｻ0	５年ごと利差配当付自由保険	END02	N
ｱU	５年ごと利差配当付自由保険	END02	N
ｻ3	５年ごと利差配当付自由保険	END02	N
ﾄ0	５年ごと利差配当付自由保険	END02	N
ﾄF	５年ごと利差配当付自由保険	END02	N
ｱZ	５年ごと利差配当付自由保険	END02	N
ｲ2	定期付養老保険「しあわせの保険」	END03	N
ｲ3	定期付養老保険「しあわせの保険」	END03	N
ｲ6	定期付養老保険「しあわせの保険」	END03	N
ｲ7	定期付養老保険「しあわせの保険」	END03	N
ｲ8	定期付養老保険「しあわせの保険」	END03	N
ｲ9	定期付養老保険「しあわせの保険」	END03	N
ﾊ2	定期付養老保険「しあわせの保険」	END03	N
ﾊ3	定期付養老保険「しあわせの保険」	END03	N
ﾊ4	定期付養老保険「しあわせの保険」	END03	N
ﾊ5	定期付養老保険「しあわせの保険」	END03	N
ﾈ2	定期付養老保険「しあわせの保険」	END03	N
ﾈ3	定期付養老保険「しあわせの保険」	END03	N
ﾈ4	定期付養老保険「しあわせの保険」	END03	N
ﾈ5	定期付養老保険「しあわせの保険」	END03	N
ﾈA	定期付養老保険「しあわせの保険」	END03	N
ｵ3	定期付養老保険「しあわせの保険」	END03	N
ｵ5	定期付養老保険「しあわせの保険」	END03	N
ｵ6	定期付養老保険「しあわせの保険」	END03	N
ｵA	定期付養老保険「しあわせの保険」	END03	N
ｵF	定期付養老保険「しあわせの保険」	END03	N
ﾜ3	定期付養老保険「しあわせの保険」	END03	N
ﾜ5	定期付養老保険「しあわせの保険」	END03	N
ﾜ6	定期付養老保険「しあわせの保険」	END03	N
ﾜA	定期付養老保険「しあわせの保険」	END03	N
ﾜF	定期付養老保険「しあわせの保険」	END03	N
ﾄ1	定期付養老保険「しあわせの保険」	END03	N
ﾄ2	定期付養老保険「しあわせの保険」	END03	N
ﾄ3	定期付養老保険「しあわせの保険」	END03	N
ｱM	５年ごと利差配当付特別養老保険	END04	N
ｱN	５年ごと利差配当付特別養老保険	END04	N
ｱ3	５年ごと利差配当付特別養老保険	END04	N
ｱ4	５年ごと利差配当付特別養老保険	END04	N
ｱX	５年ごと利差配当付特別養老保険	END04	N
ｱY	５年ごと利差配当付特別養老保険	END04	N
ﾊ6	災害倍額保障・定期付養老保険「しあわせの保険」	END05	N
ﾊ7	災害倍額保障・定期付養老保険「しあわせの保険」	END05	N
ﾊ8	災害倍額保障・定期付養老保険「しあわせの保険」	END05	N
ﾊ9	災害倍額保障・定期付養老保険「しあわせの保険」	END05	N
ﾈ6	災害倍額保障・定期付養老保険「しあわせの保険」	END05	N
ﾈ7	災害倍額保障・定期付養老保険「しあわせの保険」	END05	N
ﾈ8	災害倍額保障・定期付養老保険「しあわせの保険」	END05	N
ﾈ9	災害倍額保障・定期付養老保険「しあわせの保険」	END05	N
ﾈ0	災害倍額保障・定期付養老保険「しあわせの保険」	END05	N
C	３年定期付自由保険	END06	N
D	３年定期付自由保険	END06	N
ﾖ	３年定期付自由保険	END06	N
ﾐ	３年定期付自由保険	END06	N
ﾑ	３年定期付自由保険	END06	N
ﾅ	３年定期付自由保険	END06	N
ﾗ	３年定期付自由保険	END06	N
ｽｹ	５年ごと利差配当付定期保険	TERM01	N
ｽｺ	５年ごと利差配当付定期保険	TERM01	N
ｽﾈ	５年ごと利差配当付定期保険	TERM01	N
ｽﾒ	５年ごと利差配当付定期保険	TERM01	N
ｽﾉ	５年ごと利差配当付定期保険	TERM01	N
ｽﾚ	５年ごと利差配当付定期保険	TERM01	N
ｽﾛ	５年ごと利差配当付定期保険	TERM01	N
ｽﾜ	５年ごと利差配当付定期保険	TERM01	N
ｸA	５年ごと利差配当付逓増定期保険	TERM02	N
ｸB	５年ごと利差配当付逓増定期保険	TERM02	N
ｸC	５年ごと利差配当付逓増定期保険	TERM02	N
ｸD	５年ごと利差配当付逓増定期保険	TERM02	N
ｽN	特定疾病保障定期保険	TERM03	N
ｽP	特定疾病保障定期保険	TERM03	N
ｽT	特定疾病保障定期保険	TERM03	N
ｽW	特定疾病保障定期保険	TERM03	N
ｽX	特定疾病保障定期保険	TERM03	N
ｽｴ	特定疾病保障定期保険	TERM03	N
ｽｵ	特定疾病保障定期保険	TERM03	N
ｽﾁ	特定疾病保障定期保険	TERM03	N
ｽﾂ	特定疾病保障定期保険	TERM03	N
ｸ5	特定疾病保障定期保険	TERM03	N
ｸ6	特定疾病保障定期保険	TERM03	N
ｽ1	定期保険	TERM04	N
ｽ0	定期保険	TERM04	N
ｽ2	定期保険	TERM04	N
ｽ3	定期保険	TERM04	N
ｽA	定期保険	TERM04	N
ｽ6	定期保険	TERM04	N
ｽB	定期保険	TERM04	N
ｽ8	定期保険	TERM04	N
ｽC	定期保険	TERM04	N
ｽD	定期保険	TERM04	N
ｽF	定期保険	TERM04	N
ｽG	定期保険	TERM04	N
ｽJ	定期保険	TERM04	N
ｽK	定期保険	TERM04	N
ｽM	定期保険	TERM04	N
ｽQ	定期保険	TERM04	N
ｽS	定期保険	TERM04	N
ｽY	定期保険	TERM04	N
ｽｱ	定期保険	TERM04	N
ｽﾃ	定期保険	TERM04	N
ｽﾅ	定期保険	TERM04	N
ｽﾕ	定期保険	TERM04	N
ｽﾗ	定期保険	TERM04	N
ｽｷ	５年ごと利差配当付特定疾病保障定期保険	TERM05	N
ｽｸ	５年ごと利差配当付特定疾病保障定期保険	TERM05	N
ｽﾆ	５年ごと利差配当付特定疾病保障定期保険	TERM05	N
ｽﾇ	５年ごと利差配当付特定疾病保障定期保険	TERM05	N
ｽﾓ	５年ごと利差配当付特定疾病保障定期保険	TERM05	N
ｽﾔ	５年ごと利差配当付特定疾病保障定期保険	TERM05	N
ｽU	重度慢性疾患保障保険	TERM06	N
ｽV	重度慢性疾患保障保険	TERM06	N
ｽｲ	重度慢性疾患保障保険	TERM06	N
ｽｳ	重度慢性疾患保障保険	TERM06	N
ｽﾎ	重度慢性疾患保障保険	TERM06	N
ｽﾏ	重度慢性疾患保障保険	TERM06	N
ｽﾘ	重度慢性疾患保障保険	TERM06	N
ｽﾙ	重度慢性疾患保障保険	TERM06	N
ｽｻ	５年ごと利差配当付重度慢性疾患保障保険	TERM07	N
ｽｼ	５年ごと利差配当付重度慢性疾患保障保険	TERM07	N
ｽﾐ	５年ごと利差配当付重度慢性疾患保障保険	TERM07	N
ｽﾑ	５年ごと利差配当付重度慢性疾患保障保険	TERM07	N
ｸ3	５年ごと利差配当付重度慢性疾患保障保険	TERM07	N
ｸ4	５年ごと利差配当付重度慢性疾患保障保険	TERM07	N
ﾑﾑ	無配当定期保険	TERM08	N
ﾎ3	生存給付金付逓増年金収入保障保険	TERM09	N
ﾎ4	生存給付金付逓増年金収入保障保険	TERM09	N
ﾎ5	生存給付金付逓増年金収入保障保険	TERM09	N
ﾎ6	生存給付金付逓増年金収入保障保険	TERM09	N
ｲJ	５年ごと利差配当付介護年金保障定期保険	TERM10	N
ｲY	５年ごと利差配当付介護年金保障定期保険	TERM10	N
ｲK	５年ごと利差配当付介護年金保障定期保険	TERM10	N
ｲZ	５年ごと利差配当付介護年金保障定期保険	TERM10	N
ｲL	５年ごと利差配当付介護年金保障定期保険	TERM10	N
ｲｱ	５年ごと利差配当付介護年金保障定期保険	TERM10	N
